,entity,entity-labels,pmid
0,Extracellular Matrix,CELLULAR_COMPONENT,34806902
1,Heart,ORGAN,34806902
2,Adamts5,GENE_OR_GENE_PRODUCT,34806902
3,Proteoglycan,GENE_OR_GENE_PRODUCT,34806902
4,Extracellular Matrix,CELLULAR_COMPONENT,34806902
5,Heart,ORGAN,34806902
6,Adamts5,GENE_OR_GENE_PRODUCT,34806902
7,Proteoglycan,GENE_OR_GENE_PRODUCT,34806902
8,HINT1,GENE_OR_GENE_PRODUCT,33998164
9,Histidine,AMINO_ACID,33998164
10,Cardiac Hypertrophy,TISSUE,33998164
11,HOXA5,GENE_OR_GENE_PRODUCT,33998164
12,Homeobox A5,GENE_OR_GENE_PRODUCT,33998164
13,HINT1,GENE_OR_GENE_PRODUCT,33998164
14,Histidine,AMINO_ACID,33998164
15,Cardiac Hypertrophy,TISSUE,33998164
16,HOXA5,GENE_OR_GENE_PRODUCT,33998164
17,Homeobox A5,GENE_OR_GENE_PRODUCT,33998164
18,ER/mitochondria,GENE_OR_GENE_PRODUCT,34098726
19,human cardiomyocytes,ORGANISM,34098726
20,PLN,GENE_OR_GENE_PRODUCT,34098726
21,ER/mitochondria,GENE_OR_GENE_PRODUCT,34098726
22,human cardiomyocytes,ORGANISM,34098726
23,PLN,GENE_OR_GENE_PRODUCT,34098726
24,epicardial adipose tissue,TISSUE,31670476
25,patients,ORGANISM,31670476
26,heart,ORGAN,31670476
27,epicardial adipose tissue,TISSUE,31670476
28,patients,ORGANISM,31670476
29,heart,ORGAN,31670476
30,human sinoatrial node,ORGANISM,29484645
31,cardiomyocytes,CELL,29484645
32,human sinoatrial node,ORGANISM,29484645
33,cardiomyocytes,CELL,29484645
34,cell-type,CELL,29133944
35,human heart,ORGANISM,29133944
36,cell-type,CELL,29133944
37,human heart,ORGANISM,29133944
